p,percentage
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,0.0019928026
http://bias.org/vocab/sports/sports_team/roster./american_football/football_roster_position/position,0.001967006
http://bias.org/vocab/music/artist/origin,0.0019637812
http://bias.org/vocab/user/jg/default_domain/olympic_games/sports,0.0019315353
http://bias.org/vocab/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,0.0018799417
http://bias.org/vocab/american_football/football_team/current_roster./sports/sports_team_roster/position,0.0018509203
http://bias.org/vocab/location/hud_county_place/place,0.0018154497
http://bias.org/vocab/education/educational_institution/campuses,0.0018025513
http://bias.org/vocab/education/educational_institution_campus/educational_institution,0.0017799791
http://bias.org/vocab/soccer/football_player/current_team./sports/sports_team_roster/team,0.0017799791
http://bias.org/vocab/location/country/second_level_divisions,0.0017445085
http://bias.org/vocab/olympics/olympic_games/participating_countries,0.0017283855
http://bias.org/vocab/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,0.0017025888
http://bias.org/vocab/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,0.0017025888
http://bias.org/vocab/sports/sports_team/sport,0.0016864657
http://bias.org/vocab/music/performance_role/guest_performances./music/recording_contribution/performance_role,0.0016090753
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/honored_for,0.0015961769
http://bias.org/vocab/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,0.0015897277
http://bias.org/vocab/military/military_conflict/combatants./military/military_combatant_group/combatants,0.0015800539
http://bias.org/vocab/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,0.0015510325
http://bias.org/vocab/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,0.001483316
http://bias.org/vocab/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,0.0014768668
http://bias.org/vocab/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,0.0014607437
http://bias.org/vocab/film/film/other_crew./film/film_crew_gig/crewmember,0.0014413961
http://bias.org/vocab/film/film/story_by,0.0014155994
http://bias.org/vocab/people/person/spouse_s./people/marriage/spouse,0.0014091501
http://bias.org/vocab/time/event/locations,0.0013833534
http://bias.org/vocab/award/ranked_item/appears_in_ranked_lists./award/ranking/list,0.0013736795
http://bias.org/vocab/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,0.0013736795
http://bias.org/vocab/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,0.0013736795
http://bias.org/vocab/tv/tv_producer/programs_produced./tv/tv_producer_term/program,0.0013704549
http://bias.org/vocab/film/film/film_format,0.0013575566
http://bias.org/vocab/sports/sports_team_location/teams,0.0013511074
http://bias.org/vocab/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,0.0013349843
http://bias.org/vocab/business/business_operation/industry,0.0013027383
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,0.0012801661
http://bias.org/vocab/location/administrative_division/country,0.0012608186
http://bias.org/vocab/language/human_language/countries_spoken_in,0.0012221234
http://bias.org/vocab/film/film/cinematography,0.0012027757
http://bias.org/vocab/location/country/form_of_government,0.0011898773
http://bias.org/vocab/education/field_of_study/students_majoring./education/education/major_field_of_study,0.0011640806
http://bias.org/vocab/education/university/local_tuition./measurement_unit/dated_money_value/currency,0.0011640806
http://bias.org/vocab/people/person/employment_history./business/employment_tenure/company,0.0011640806
http://bias.org/vocab/tv/tv_network/programs./tv/tv_network_duration/program,0.0011544067
http://bias.org/vocab/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,0.0011092623
http://bias.org/vocab/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,0.0010866901
http://bias.org/vocab/education/field_of_study/students_majoring./education/education/student,0.0010447704
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/student,0.0010383212
http://bias.org/vocab/tv/tv_program/country_of_origin,0.0010383212
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,0.001031872
http://bias.org/vocab/base/culturalevent/event/entity_involved,0.0010189735
http://bias.org/vocab/base/biblioness/bibs_location/state,0.0010125244
http://bias.org/vocab/location/hud_county_place/county,0.0010092998
http://bias.org/vocab/people/person/spouse_s./people/marriage/location_of_ceremony,9.899521E-4
http://bias.org/vocab/tv/tv_program/languages,9.899521E-4
http://bias.org/vocab/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,9.802784E-4
http://bias.org/vocab/film/film/film_festivals,9.609308E-4
http://bias.org/vocab/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,9.5448154E-4
http://bias.org/vocab/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,9.2546013E-4
http://bias.org/vocab/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,9.2223554E-4
http://bias.org/vocab/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue,9.0933713E-4
http://bias.org/vocab/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,8.5774355E-4
http://bias.org/vocab/government/politician/government_positions_held./government/government_position_held/legislative_sessions,8.480697E-4
http://bias.org/vocab/music/group_member/membership./music/group_membership/group,8.3839596E-4
http://bias.org/vocab/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,8.1259914E-4
http://bias.org/vocab/location/country/official_language,7.9970073E-4
http://bias.org/vocab/film/film/personal_appearances./film/personal_film_appearance/person,7.9325156E-4
http://bias.org/vocab/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,7.868024E-4
http://bias.org/vocab/people/ethnicity/languages_spoken,7.8035315E-4
http://bias.org/vocab/music/artist/contribution./music/recording_contribution/performance_role,7.7712856E-4
http://bias.org/vocab/award/award_category/disciplines_or_subjects,7.73904E-4
http://bias.org/vocab/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,7.6100556E-4
http://bias.org/vocab/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,7.57781E-4
http://bias.org/vocab/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,7.5133174E-4
http://bias.org/vocab/organization/organization/child./organization/organization_relationship/child,7.4488256E-4
http://bias.org/vocab/business/business_operation/revenue./measurement_unit/dated_money_value/currency,7.061874E-4
http://bias.org/vocab/film/film/costume_design_by,7.061874E-4
http://bias.org/vocab/user/ktrueman/default_domain/international_organization/member_states,7.0296274E-4
http://bias.org/vocab/film/film/prequel,6.8039057E-4
http://bias.org/vocab/film/actor/film./film/performance/special_performance_type,6.5781834E-4
http://bias.org/vocab/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,6.5136916E-4
http://bias.org/vocab/organization/organization/headquarters./location/mailing_address/country,6.481446E-4
http://bias.org/vocab/film/film/edited_by,6.4492E-4
http://bias.org/vocab/film/film/runtime./film/film_cut/film_release_region,6.4492E-4
http://bias.org/vocab/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,6.4169534E-4
http://bias.org/vocab/medicine/symptom/symptom_of,6.3524616E-4
http://bias.org/vocab/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,6.2557234E-4
http://bias.org/vocab/medicine/disease/risk_factors,6.2557234E-4
http://bias.org/vocab/sports/sports_team/roster./baseball/baseball_roster_position/position,6.2234775E-4
http://bias.org/vocab/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,6.158986E-4
http://bias.org/vocab/base/aareas/schema/administrative_area/administrative_area_type,6.158986E-4
http://bias.org/vocab/sports/sports_league/teams./sports/sports_league_participation/team,6.158986E-4
http://bias.org/vocab/location/us_county/county_seat,5.9332635E-4
http://bias.org/vocab/sports/sports_team/roster./basketball/basketball_roster_position/position,5.9332635E-4
http://bias.org/vocab/business/business_operation/assets./measurement_unit/dated_money_value/currency,5.8687717E-4
http://bias.org/vocab/film/film/film_production_design_by,5.8687717E-4
http://bias.org/vocab/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation,5.8687717E-4
http://bias.org/vocab/award/award_category/category_of,5.836526E-4
http://bias.org/vocab/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,5.7720335E-4
http://bias.org/vocab/film/film/distributors./film/film_film_distributor_relationship/region,5.7397876E-4
http://bias.org/vocab/influence/influence_node/peers./influence/peer_relationship/peers,5.4173276E-4
http://bias.org/vocab/people/deceased_person/place_of_burial,5.352836E-4
http://bias.org/vocab/base/eating/practicer_of_diet/diet,5.32059E-4
http://bias.org/vocab/sports/sport/pro_athletes./sports/pro_sports_played/athlete,5.2883435E-4
http://bias.org/vocab/education/university/fraternities_and_sororities,5.223852E-4
http://bias.org/vocab/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,5.223852E-4
http://bias.org/vocab/location/country/capital,5.15936E-4
http://bias.org/vocab/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,5.15936E-4
http://bias.org/vocab/organization/organization_founder/organizations_founded,5.062622E-4
http://bias.org/vocab/location/location/partially_contains,4.9658836E-4
http://bias.org/vocab/base/popstra/celebrity/breakup./base/popstra/breakup/participant,4.9336377E-4
http://bias.org/vocab/people/ethnicity/geographic_distribution,4.9336377E-4
http://bias.org/vocab/base/americancomedy/celebrity_impressionist/celebrities_impersonated,4.8368998E-4
http://bias.org/vocab/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,4.804654E-4
http://bias.org/vocab/tv/tv_program/program_creator,4.804654E-4
http://bias.org/vocab/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,4.7401618E-4
http://bias.org/vocab/medicine/disease/notable_people_with_this_condition,4.6756698E-4
http://bias.org/vocab/people/person/sibling_s./people/sibling_relationship/sibling,4.6111777E-4
http://bias.org/vocab/film/film/dubbing_performances./film/dubbing_performance/actor,4.5466857E-4
http://bias.org/vocab/location/administrative_division/first_level_division_of,4.5466857E-4
http://bias.org/vocab/film/actor/dubbing_performances./film/dubbing_performance/language,4.4821936E-4
http://bias.org/vocab/base/aareas/schema/administrative_area/capital,4.417702E-4
http://bias.org/vocab/government/politician/government_positions_held./government/government_position_held/basic_title,4.3854557E-4
http://bias.org/vocab/base/locations/continents/countries_within,4.3209636E-4
http://bias.org/vocab/time/event/instance_of_recurring_event,4.3209636E-4
http://bias.org/vocab/organization/organization/place_founded,4.2887178E-4
http://bias.org/vocab/film/film_set_designer/film_sets_designed,4.1597337E-4
http://bias.org/vocab/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal,4.1597337E-4
http://bias.org/vocab/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,4.1274878E-4
http://bias.org/vocab/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position,4.1274878E-4
http://bias.org/vocab/broadcast/content/artist,4.095242E-4
http://bias.org/vocab/people/profession/specialization_of,4.0307498E-4
http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/position,4.0307498E-4
http://bias.org/vocab/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,3.9662578E-4
http://bias.org/vocab/user/alexander/philosophy/philosopher/interests,3.9662578E-4
http://bias.org/vocab/government/governmental_body/members./government/government_position_held/legislative_sessions,3.9017657E-4
http://bias.org/vocab/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office,3.9017657E-4
http://bias.org/vocab/education/university/international_tuition./measurement_unit/dated_money_value/currency,3.8372737E-4
http://bias.org/vocab/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months,3.6760437E-4
http://bias.org/vocab/dataworld/gardening_hint/split_to,3.6437978E-4
http://bias.org/vocab/film/special_film_performance_type/film_performance_type./film/performance/film,3.6437978E-4
http://bias.org/vocab/music/instrument/family,3.5148137E-4
http://bias.org/vocab/film/film/film_art_direction_by,3.4825678E-4
http://bias.org/vocab/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,3.3535837E-4
http://bias.org/vocab/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person,3.3535837E-4
http://bias.org/vocab/sports/sports_position/players./american_football/football_historical_roster_position/position_s,3.2890917E-4
http://bias.org/vocab/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,1.45107E-4
