relation,option,tailEntities,tailEntitiesForOption,optionRepresented
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/09kvv,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0ft5vs,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/034h1h,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05krk,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/044g_k,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0ylgz,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04hk0w,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01nqfh_,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01s7ns,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/09d5h,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01d6g,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0d9jr,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0g824,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/091z_p,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0ym20,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01w724,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01swxv,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0gt_k,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01qqwp9,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0mndw,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01l1sq,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0gn30,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wk7ql,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wy61y,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0150t6,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/045zr,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0rkkv,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01bm_,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01k_yf,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07cjqy,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vw87c,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0cv3w,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/026c1,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0gcs9,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/017n9,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01w3lzq,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0c5v2,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03l78j,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0gkkf,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05zbm4,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/016tw3,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0fh2v5,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03f1d47,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01gb54,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07tg4,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03cw411,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wd9lv,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01gfq4,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02t_y3,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0320jz,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01f_3w,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0drnwh,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02k4gv,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03twd6,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02d42t,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01t110,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0f5xn,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vyp_,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/086k8,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/09xbpt,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/043n0v_,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02rqwhl,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02183k,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01q99h,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03n52j,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02qyv3h,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/06s7rd,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wcp_g,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0yl_w,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05l5n,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02w2bc,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0cjdk,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05f4vxd,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05g3v,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03d34x8,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/08phg9,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02yxjs,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01smm,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/016ndm,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01gk3x,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03f0fnk,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07rhpg,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07w0v,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0crh5_f,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03d_w3h,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vw20h,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07tk7,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0dhdp,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04cl1,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/072hx4,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07g2v,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0pswc,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03h_fqv,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/016lj_,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0ck6r,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/09889g,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03v0t,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/048hf,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02xry,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0jlv5,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02cx90,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03mszl,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/040_lv,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01qq_lp,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07ymr5,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0c0zq,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wj5hp,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0hx4y,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01jpqb,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0fx0mw,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02cff1,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02z4b_8,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05xpms,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0bvn25,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05fkf,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/047cqr,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04s04,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0150jk,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01w8n89,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0lccn,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wwvc5,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02d6ph,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/089kpp,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03whyr,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03s0w,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01dhpj,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0xszy,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01795t,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02zd460,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0n85g,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vvyfh,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0dt1cm,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01qgry,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/083skw,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01ttg5,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0v9qg,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07wm6,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/017lb_,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04ych,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07m_f,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0y62n,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vvyvk,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0lwkh,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05p09zm,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02hmvw,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07dfk,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/06c62,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/018jcq,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0f2tj,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02cvcd,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0drdv,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0lgm5,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01h910,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03m1n,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/051vz,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01jq0j,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01tl50z,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02704ff,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0t_hx,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02zyy4,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01w9wwg,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03818y,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0241jw,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0478__m,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0fpkhkz,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0144wg,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vw_dv,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/013w7j,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01gg59,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02wgk1,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04k9y6,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0h1x5f,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02r3cn,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03cz83,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04tgp,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0cnztc4,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01w565,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wphh2,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01nr63,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01xdn1,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0mnyn,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01j7mr,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03tbg6,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0pk41,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01z9_x,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02ldv0,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05zl0,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04cv9m,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wwnh2,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01ct6,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vyv9,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02v406,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01n30p,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0p_2r,1,1,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/081lh,1,1,1.0
